"0,1,2,3,4,7,10,19",1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,1.0,-0.0,1.0
"0,1,2,3,4,7,10,19",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,10,19",1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,1.0,1.0,1.0,1.0
"0,1,2,3,4,7,10,19",-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0

"0,1,2,3,4,7,12,17",-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,12,17",-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,12,17",-1.0,1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,1.0
"0,1,2,3,4,7,12,17",-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,1.0
"0,1,2,3,4,7,12,17",-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-1.0,-1.0,-0.0,1.0,1.0
"0,1,2,3,4,7,12,17",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,12,17",1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0,-1.0
"0,1,2,3,4,7,12,17",-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0

"0,1,2,3,4,7,12,18",-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,12,18",-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,12,18",-1.0,1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,1.0
"0,1,2,3,4,7,12,18",-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,1.0
"0,1,2,3,4,7,12,18",-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0
"0,1,2,3,4,7,12,18",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,12,18",1.0,-1.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0,-1.0
"0,1,2,3,4,7,12,18",-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0

"0,1,2,3,4,7,12,19",-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,12,19",-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,12,19",-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0
"0,1,2,3,4,7,12,19",-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0
"0,1,2,3,4,7,12,19",-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0
"0,1,2,3,4,7,12,19",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,12,19",1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,1.0
"0,1,2,3,4,7,12,19",-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0

"0,1,2,3,4,7,15,17",-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,15,17",-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,15,17",-1.0,1.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,1.0
"0,1,2,3,4,7,15,17",-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,15,17",1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,1.0,1.0,-0.0
"0,1,2,3,4,7,15,17",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,15,17",-1.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-1.0,-0.0,1.0
"0,1,2,3,4,7,15,17",-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0

"0,1,2,3,4,7,15,18",-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,15,18",-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,15,18",-1.0,1.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,1.0
"0,1,2,3,4,7,15,18",-0.0,-1.0,-0.0,-0.0,-1.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,15,18",1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-1.0,1.0,-1.0,-1.0
"0,1,2,3,4,7,15,18",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,15,18",-1.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,-1.0,-0.0,1.0
"0,1,2,3,4,7,15,18",-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0

"0,1,2,3,4,7,15,19",-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"0,1,2,3,4,7,15,19",-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0
